name	layer	pos	n	file	sha256
attn_norm	2	1	1024	pos1/attn_norm-2.f32	f1731eb3b4cbf6afdfefa749ed43c3e834487059d6f6af20295b88943fe14ccc
conv_output_silu	2	1	6144	pos1/conv_output_silu-2.f32	8fe8fa33baa3e7ea0059dcf925cfd967ece4e0406d6743c980c40e4163bb9923
q_conv_predelta	2	1	2048	pos1/q_conv_predelta-2.f32	c10ff2179777d67c9216ab6a5539dce23377bf2eeab785e83398a4b30915404e
k_conv_predelta	2	1	2048	pos1/k_conv_predelta-2.f32	daceb2ebbcca98a27e6f6584ed9c714ff4c5cf6f8ecb68ca5efdb646eac39250
v_conv_predelta	2	1	2048	pos1/v_conv_predelta-2.f32	6d914f2a1278e586d413ad8c5e388033517713a7f756f80a045a00c48742bc77
a_softplus	2	1	16	pos1/a_softplus-2.f32	270dc0e3d0d8311577d612e961e8dc0da6362d516105357b9c499868493badbb
gate	2	1	16	pos1/gate-2.f32	f84ece8a7f6033742bbae1366df47ec2f36cd2e699dfc53ed9dda4d076a102f2
beta_sigmoid	2	1	16	pos1/beta_sigmoid-2.f32	02b7338bf0d2bf2e59e3afc21bef54b7ca2d9eef37fb6f62874c6ccc0b0a5d2b
z	2	1	2048	pos1/z-2.f32	819d02c1fc8634bf648537ce24d2c2f8b42adf1eae337ae5ed6978a1f74843a1
state_predelta	2	1	262144	pos1/state_predelta-2.f32	f499ed7a4a1b79473459689f7645ebf03a90785aa3e7cce9580f961a5eb2733a
attn_output	2	1	2048	pos1/attn_output-2.f32	99393415dabf0ee625a23dcc278b25e0275d12d770537b2401548bd86d9a8b9d
new_state	2	1	262144	pos1/new_state-2.f32	c7473fa2f306f182ba95854122a6e8f3d9d0dca1fa6ccfa86b41ffa734027641
final_output	2	1	2048	pos1/final_output-2.f32	ddb96634bd4edc0959c04e90b298813ce9e8656fc6eb6962727f9b986fe429fa
linear_attn_out	2	1	1024	pos1/linear_attn_out-2.f32	57779089378b2e29e0ccda940f40e86639763fa89f1c3b4aee20af2a555de4b6
attn_residual	2	1	1024	pos1/attn_residual-2.f32	490d9067dba5234de106d3db36ab624ca6a62f01f1af9fadbb5975da9890b2c9
attn_post_norm	2	1	1024	pos1/attn_post_norm-2.f32	394f8283e0aa5a32733a151724abe918af9f69127cdcb7712358cf02becae6ba
ffn_out	2	1	1024	pos1/ffn_out-2.f32	8b5f3bbe3cd00aa0c155f09e9e1d64ef1472126d44950a2ae859b3a3aa1bdc17
l_out	2	1	1024	pos1/l_out-2.f32	60409ac11b03aca1dc40f75d5461cf03be10fe312de743509ce58ce5008dfe3b
attn_norm	3	1	1024	pos1/attn_norm-3.f32	ffbc960f976945032bac3ea17d87437f3a29fe9370ab6e4a2cdfb67c7d5a4df0
attn_pregate	3	1	2048	pos1/attn_pregate-3.f32	f2216b18e68b60d9721eab306ec2d5bd6c4738eca4509c9fb19aeb369f87eef0
attn_gated	3	1	2048	pos1/attn_gated-3.f32	91e84a4034261c8aa6d71fc34d6bfed285795a37efc81dc45c9d10c24d51f3d2
attn_output	3	1	1024	pos1/attn_output-3.f32	0da93cefb8b64b2214e54759cc040cb2c3eb1e684cc1dbaf8ba53d815e588493
attn_residual	3	1	1024	pos1/attn_residual-3.f32	d22d6d4690f5e447fb09f28f5599f423bf628428823b30b35a78c2308acbccc1
attn_post_norm	3	1	1024	pos1/attn_post_norm-3.f32	1fd5f199f9cb775d54ca413bbdc12a45594df0ba46383691652de1d5871580d2
ffn_out	3	1	1024	pos1/ffn_out-3.f32	1b3dabae8a185d4e4f941fdc4f11cfde7a1dbbc07e30b50f4d347cdc1485c978
l_out	3	1	1024	pos1/l_out-3.f32	e4eeba1e47dce1ae1b82e36c10a90041d310ca45344d4791f45081279f6448be
attn_norm	4	1	1024	pos1/attn_norm-4.f32	b394901f318b3c665083d9e144bb0f4e899fff056a4356c9a2793ca6937c8b72
conv_output_silu	4	1	6144	pos1/conv_output_silu-4.f32	3acb823692a7fc41e91cb2204838fd03f31883bc49364b63fe67502d6a0d50a2
q_conv_predelta	4	1	2048	pos1/q_conv_predelta-4.f32	841c356e9df61fa9f33616d543a96454d7c7133d1618835934dd0ac8142579e1
k_conv_predelta	4	1	2048	pos1/k_conv_predelta-4.f32	d70adb4a59cd2decf9803af9f0da897864a43c2fcd15ec45e40cdfbacc590b8c
v_conv_predelta	4	1	2048	pos1/v_conv_predelta-4.f32	2673dcd368cce057331acc31857e05a213ff9472da307be99917f53c7e0e42e7
a_softplus	4	1	16	pos1/a_softplus-4.f32	fe45edcafaf96eac0fe9bea6de99c07a46704d50fc2869fe95d356c5d1ef88b4
gate	4	1	16	pos1/gate-4.f32	c1a8270b640eee197c6e77810c9b7adbd1b1d89c84aadc9e9cc4d9679cebeb73
