label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	2	attn_residual-15	15	full_attention	mixer	0.131460	0.135877	0.004417	0.990844	attn_output-15	0.166906	0.986012
p4	2	l_out-15	15	full_attention	ffn	0.135877	0.129260	-0.006617	0.991793	ffn_out-15	0.181950	0.983551
p4	2	attn_residual-16	16	linear_gated_deltanet	mixer	0.129260	0.123487	-0.005773	0.992443	linear_attn_out-16	0.142233	0.989916
p4	2	l_out-16	16	linear_gated_deltanet	ffn	0.123487	0.111314	-0.012173	0.993985	ffn_out-16	0.115475	0.993445
p4	2	attn_residual-17	17	linear_gated_deltanet	mixer	0.111314	0.117967	0.006653	0.993132	linear_attn_out-17	0.207285	0.979667
p4	2	l_out-17	17	linear_gated_deltanet	ffn	0.117967	0.123400	0.005433	0.992559	ffn_out-17	0.155865	0.988089
p4	2	attn_residual-18	18	linear_gated_deltanet	mixer	0.123400	0.126588	0.003188	0.992140	linear_attn_out-18	0.189446	0.981977
p4	2	l_out-18	18	linear_gated_deltanet	ffn	0.126588	0.117300	-0.009288	0.993367	ffn_out-18	0.141466	0.989957
p4	2	attn_residual-19	19	full_attention	mixer	0.117300	0.127845	0.010545	0.992127	attn_output-19	0.091813	0.995787
p4	2	l_out-19	19	full_attention	ffn	0.127845	0.125652	-0.002193	0.992324	ffn_out-19	0.155483	0.987951
p4	2	attn_residual-20	20	linear_gated_deltanet	mixer	0.125652	0.131941	0.006289	0.991473	linear_attn_out-20	0.203607	0.979817
p4	2	l_out-20	20	linear_gated_deltanet	ffn	0.131941	0.140122	0.008181	0.990328	ffn_out-20	0.184791	0.982800
p4	2	attn_residual-21	21	linear_gated_deltanet	mixer	0.140122	0.156644	0.016522	0.988107	linear_attn_out-21	0.273526	0.962008
p4	2	l_out-21	21	linear_gated_deltanet	ffn	0.156644	0.155099	-0.001545	0.988142	ffn_out-21	0.196366	0.980570
p4	2	attn_residual-22	22	linear_gated_deltanet	mixer	0.155099	0.178244	0.023145	0.984212	linear_attn_out-22	0.301651	0.955734
p4	2	l_out-22	22	linear_gated_deltanet	ffn	0.178244	0.187272	0.009028	0.982390	ffn_out-22	0.229716	0.973264
p4	2	attn_residual-23	23	full_attention	mixer	0.187272	0.210078	0.022806	0.977874	attn_output-23	0.215285	0.976552
p4	2	l_out-23	23	full_attention	ffn	0.210078	0.248803	0.038725	0.968895	ffn_out-23	0.306485	0.953595
p4	2	result_norm	-1	-	final_norm	0.248803	0.243297	-0.005506	0.970524	-	-	-
p4	3	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.036257	0.036257	0.999343	linear_attn_out-0	0.036260	0.999342
p4	3	l_out-0	0	linear_gated_deltanet	ffn	0.036257	0.044281	0.008024	0.999020	ffn_out-0	0.061762	0.998155
p4	3	attn_residual-1	1	linear_gated_deltanet	mixer	0.044281	0.052899	0.008618	0.998601	linear_attn_out-1	0.080516	0.996774
p4	3	l_out-1	1	linear_gated_deltanet	ffn	0.052899	0.070578	0.017679	0.997522	ffn_out-1	0.090919	0.995909
