label	pos	layer	kernel	qtype	n	K(llama_in)==llama_out_bits	K(apr_in)==apr_out_bits	in_rel_l2	K_out_rel_l2	amplification	out_rel_l2_dumps
orig	4	9	attn_norm->z	Q4_K	2048	2048	2048	4.118e-02	2.289e-02	0.6	2.289e-02
orig	4	9	final_output->linear_attn_out	Q5_K	1024	1024	1024	6.569e-02	7.597e-02	1.2	7.597e-02
orig	4	10	attn_norm->z	Q4_K	2048	2048	2048	4.012e-02	1.867e-02	0.5	1.867e-02
orig	4	10	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.243e-02	6.649e-02	1.3	6.649e-02
orig	4	12	attn_norm->z	Q4_K	2048	2048	2048	4.064e-02	1.889e-02	0.5	1.889e-02
orig	4	12	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.547e-02	6.362e-02	1.1	6.362e-02
orig	4	13	attn_norm->z	Q4_K	2048	2048	2048	3.774e-02	1.877e-02	0.5	1.877e-02
orig	4	13	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.345e-02	5.583e-02	1.3	5.583e-02
orig	4	14	attn_norm->z	Q4_K	2048	2048	2048	3.591e-02	1.675e-02	0.5	1.675e-02
orig	4	14	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.069e-02	5.099e-02	1.3	5.099e-02
orig	4	16	attn_norm->z	Q4_K	2048	2048	2048	3.350e-02	1.869e-02	0.6	1.869e-02
orig	4	16	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.329e-02	5.487e-02	1.6	5.487e-02
orig	4	17	attn_norm->z	Q4_K	2048	2048	2048	3.432e-02	2.244e-02	0.7	2.244e-02
orig	4	17	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.063e-02	4.409e-02	1.4	4.409e-02
orig	4	18	attn_norm->z	Q4_K	2048	2048	2048	3.250e-02	2.029e-02	0.6	2.029e-02
orig	4	18	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.405e-02	4.506e-02	1.3	4.506e-02
orig	4	20	attn_norm->z	Q4_K	2048	2048	2048	3.694e-02	2.094e-02	0.6	2.094e-02
orig	4	20	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.222e-02	4.883e-02	0.9	4.883e-02
orig	4	21	attn_norm->z	Q4_K	2048	2048	2048	3.782e-02	2.960e-02	0.8	2.960e-02
orig	4	21	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.668e-02	5.200e-02	1.1	5.200e-02
orig	4	22	attn_norm->z	Q4_K	2048	2048	2048	3.758e-02	2.380e-02	0.6	2.380e-02
orig	4	22	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.932e-02	5.703e-02	1.5	5.703e-02
orig	28	0	attn_norm->z	Q4_K	2048	2048	2048	0.000e+00	0.000e+00	nan	0.000e+00
orig	28	0	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.910e-07	1.305e-06	6.8	1.305e-06
orig	28	1	attn_norm->z	Q4_K	2048	2048	2048	1.511e-06	5.427e-07	0.4	5.427e-07
orig	28	1	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.319e-05	1.792e-04	4.2	1.792e-04
orig	28	2	attn_norm->z	Q4_K	2048	2048	2048	6.175e-03	7.661e-03	1.2	7.661e-03
orig	28	2	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.320e-02	3.106e-02	2.4	3.106e-02
orig	28	4	attn_norm->z	Q4_K	2048	2048	2048	3.231e-02	1.697e-02	0.5	1.697e-02
orig	28	4	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.375e-02	5.819e-02	1.3	5.819e-02
orig	28	5	attn_norm->z	Q4_K	2048	2048	2048	4.185e-02	2.409e-02	0.6	2.409e-02
orig	28	5	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.416e-02	6.927e-02	1.6	6.927e-02
orig	28	6	attn_norm->z	Q4_K	2048	2048	2048	4.573e-02	2.070e-02	0.5	2.070e-02
orig	28	6	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.271e-02	6.019e-02	1.1	6.019e-02
orig	28	8	attn_norm->z	Q4_K	2048	2048	2048	4.670e-02	2.204e-02	0.5	2.204e-02
orig	28	8	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.425e-02	9.878e-02	1.8	9.878e-02
orig	28	9	attn_norm->z	Q4_K	2048	2048	2048	4.707e-02	2.146e-02	0.5	2.146e-02
orig	28	9	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.510e-02	6.461e-02	1.2	6.461e-02
orig	28	10	attn_norm->z	Q4_K	2048	2048	2048	4.498e-02	1.705e-02	0.4	1.705e-02
orig	28	10	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.211e-02	6.120e-02	1.2	6.120e-02
orig	28	12	attn_norm->z	Q4_K	2048	2048	2048	4.328e-02	1.663e-02	0.4	1.663e-02
orig	28	12	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.842e-02	5.544e-02	1.1	5.544e-02
orig	28	13	attn_norm->z	Q4_K	2048	2048	2048	4.068e-02	1.980e-02	0.5	1.980e-02
orig	28	13	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.837e-02	6.580e-02	1.4	6.580e-02
orig	28	14	attn_norm->z	Q4_K	2048	2048	2048	3.803e-02	1.566e-02	0.4	1.566e-02
orig	28	14	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.363e-02	5.513e-02	1.3	5.513e-02
orig	28	16	attn_norm->z	Q4_K	2048	2048	2048	3.739e-02	1.462e-02	0.4	1.462e-02
orig	28	16	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.918e-02	5.035e-02	1.3	5.035e-02
orig	28	17	attn_norm->z	Q4_K	2048	2048	2048	3.647e-02	1.814e-02	0.5	1.814e-02
orig	28	17	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.424e-02	5.368e-02	1.2	5.368e-02
orig	28	18	attn_norm->z	Q4_K	2048	2048	2048	3.784e-02	1.681e-02	0.4	1.681e-02
orig	28	18	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.086e-02	3.716e-02	0.9	3.716e-02
orig	28	20	attn_norm->z	Q4_K	2048	2048	2048	4.032e-02	1.688e-02	0.4	1.688e-02
orig	28	20	final_output->linear_attn_out	Q5_K	1024	1024	1024	2.895e-02	3.590e-02	1.2	3.590e-02
orig	28	21	attn_norm->z	Q4_K	2048	2048	2048	4.089e-02	2.109e-02	0.5	2.109e-02
orig	28	21	final_output->linear_attn_out	Q5_K	1024	1024	1024	4.007e-02	5.223e-02	1.3	5.223e-02
orig	28	22	attn_norm->z	Q4_K	2048	2048	2048	4.045e-02	2.026e-02	0.5	2.026e-02
orig	28	22	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.497e-02	5.922e-02	1.7	5.922e-02
